Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.31,-.05,-.41,-.13,-.02,-.82,-.52,-.32,-.14,-.11,-.05,.05,.68
1881,-.09,-.19,.00,-.38,.10,-.07,-.94,-.49,-.22,.11,.10,-.06,-.07,.60
1882,-.11,-.22,-.02,-.33,-.04,.01,-1.43,-.31,-.16,-.04,-.05,.00,.04,.63
1883,-.18,-.29,-.07,-.36,-.16,-.02,-.18,-.58,-.27,-.17,-.16,-.05,.07,.51
1884,-.28,-.43,-.15,-.62,-.14,-.14,-1.31,-.67,-.47,-.11,-.17,-.20,-.02,.66
1885,-.33,-.44,-.25,-.66,-.13,-.27,-1.52,-.71,-.45,-.05,-.21,-.34,-.15,.83
1886,-.31,-.43,-.20,-.57,-.19,-.22,-1.59,-.53,-.39,-.20,-.19,-.20,-.20,.60
1887,-.36,-.44,-.29,-.53,-.29,-.28,-1.77,-.54,-.28,-.28,-.31,-.28,-.26,.33
1888,-.17,-.23,-.12,-.42,.11,-.29,-1.31,-.45,-.23,.08,.13,-.31,-.22,.17
1889,-.10,-.17,-.04,-.30,.08,-.16,-.69,-.24,-.27,.03,.14,-.16,-.15,.46
1890,-.35,-.38,-.32,-.46,-.36,-.22,-1.15,-.58,-.26,-.25,-.48,-.18,-.27,.16
1891,-.22,-.25,-.20,-.42,-.07,-.21,-1.11,-.34,-.35,.02,-.17,-.18,-.24,-.15
1892,-.27,-.39,-.16,-.43,-.29,-.08,-1.12,-.66,-.16,-.32,-.27,.02,-.21,.10
1893,-.31,-.47,-.16,-.50,-.36,-.05,-.66,-.55,-.46,-.41,-.31,.06,-.20,-.03
1894,-.30,-.38,-.22,-.33,-.33,-.24,-.97,-.34,-.18,-.47,-.19,-.15,-.35,-.37
1895,-.23,-.30,-.15,-.41,-.07,-.26,-.72,-.54,-.27,-.13,.00,-.20,-.31,-.57
1896,-.11,-.19,-.03,-.36,.10,-.15,-.92,-.38,-.22,.07,.14,-.16,-.13,.26
1897,-.11,-.16,-.05,-.36,.17,-.24,-.58,-.48,-.24,.15,.20,-.20,-.27,.41
1898,-.28,-.29,-.27,-.36,-.22,-.27,-1.19,-.26,-.23,-.17,-.27,-.28,-.21,.39
1899,-.18,-.21,-.14,-.25,-.11,-.19,-1.07,-.12,-.14,-.14,-.08,-.16,-.22,.59
1900,-.08,-.08,-.07,-.21,.18,-.30,-.57,-.17,-.15,.11,.25,-.29,-.29,.28
1901,-.15,-.12,-.18,-.16,-.03,-.30,-.40,-.12,-.14,-.05,-.01,-.27,-.33,.27
1902,-.28,-.34,-.22,-.54,-.03,-.35,-1.56,-.52,-.31,-.01,-.05,-.28,-.43,-.04
1903,-.37,-.38,-.37,-.47,-.29,-.39,-.26,-.43,-.56,-.24,-.34,-.36,-.40,-.48
1904,-.47,-.49,-.46,-.52,-.47,-.44,-.24,-.61,-.55,-.43,-.50,-.37,-.49,-1.31
1905,-.27,-.29,-.23,-.41,-.09,-.36,-.08,-.25,-.62,-.11,-.06,-.33,-.37,-.33
1906,-.23,-.24,-.21,-.26,-.20,-.23,-.30,-.08,-.38,-.21,-.18,-.21,-.22,-.70
